FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,BwdPktLenMean,FwdPktLenStd,BwdPktLenStd,FlowIATMean,FlowIATStd,FwdIATMean,BwdIATMean,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,router_id,row_id,packet_id,src,dst,sport,dport,proto
0.0,1,0,229,0,229.0,0.0,0.0,0.0,0,0,0,0,229,1,0.0,0.0,ROUTER-001,1,918b7f5b-7458-4ef4-99cd-732edfb7714e,103.199.160.80,192.168.1.101,53,53094,UDP
0.0,1,0,229,0,229.0,0.0,0.0,0.0,0,0,0,0,229,1,0.0,0.0,ROUTER-001,2,233749e4-0d47-41c1-ae8b-5c6abaae4ffc,103.160.195.230,192.168.1.101,53,53094,UDP
0.0,1,0,153,0,153.0,0.0,0.0,0.0,0,0,0,0,153,1,0.0,0.0,ROUTER-001,3,f9c514f7-efbe-4dcb-ab59-2f941fc12991,20.189.173.2,192.168.1.101,443,24581,TCP
0.0,1,0,54,0,54.0,0.0,0.0,0.0,0,0,0,0,54,1,0.0,0.0,ROUTER-001,4,b533a563-2061-47a5-af26-e79a98b122bd,216.24.57.251,192.168.1.101,443,36961,TCP
3.504753112792969e-05,1,1,54,54,54.0,54.0,0.0,0.0,3.504753112792969e-05,0.0,0,0,108,2,3081529.4693877553,57065.360544217685,ROUTER-001,5,50425dc4-73b4-4453-93db-696d73656dc5,216.24.57.251,192.168.1.101,443,36961,TCP
0.0,1,0,66,0,66.0,0.0,0.0,0.0,0,0,0,0,66,1,0.0,0.0,ROUTER-001,6,6eed967b-cc29-458e-bcf0-95e3dece06fa,192.168.1.101,52.168.117.175,24590,443,TCP
0.0026268959045410156,1,1,153,491,153.0,491.0,0.0,0.0,0.0026268959045410156,0.0,0,0,644,2,245156.26937738247,761.3548738428027,ROUTER-001,7,4adbdb07-98d2-4788-8735-8d012354f264,20.189.173.2,192.168.1.101,443,24581,TCP
0.0,1,0,104,0,104.0,0.0,0.0,0.0,0,0,0,0,104,1,0.0,0.0,ROUTER-001,8,d5c90e83-5f1b-46f1-90fb-2e5f9519c9d6,192.168.1.101,52.147.65.166,35454,443,TCP
0.3080580234527588,2,1,1647,491,823.5,491.0,670.5,0.0,0.1540290117263794,0.15140211582183838,0.3080580234527588,0,2138,3,6940.250982710943,9.738425139444729,ROUTER-001,9,d66f7b8b-81e1-49e3-b9a7-88d7f2bc73ba,20.189.173.2,192.168.1.101,443,24581,TCP
0.3082590103149414,3,1,3141,491,1047.0,491.0,632.1534623807735,0.0,0.1027530034383138,0.14331849788310108,0.1541295051574707,0,3632,4,11782.299554810306,12.976100831288884,ROUTER-001,10,2b0e4cb8-16e7-4e0a-8e71-987ba1182e5e,20.189.173.2,192.168.1.101,443,24581,TCP
0.3082590103149414,4,1,3366,491,841.5,491.0,652.9963629301468,0.0,0.07706475257873535,0.13185144130147095,0.1027530034383138,0,3857,5,12512.205226570306,16.220126039111104,ROUTER-001,11,bb7597c4-5510-434d-86d5-5488732d00bf,20.189.173.2,192.168.1.101,443,24581,TCP
0.3082590103149414,5,1,4860,491,972.0,491.0,639.7221271771049,0.0,0.06165180206298828,0.12189371695466367,0.07706475257873535,0,5351,6,17358.778887056706,19.464151246933326,ROUTER-001,12,2c2b1c5e-630a-435a-abe5-dd9769aaaca3,20.189.173.2,192.168.1.101,443,24581,TCP
